,GS10,GS2,T10Y2YM,BAMLC0A2CAAEY,BAMLC0A4CBBBEY,FEDFUNDS,CORESTICKM159SFRBATL,DPCCRV1Q225SBEA,EXPINF1YR,EXPINF5YR,PCOPPUSDM,POILWTIUSDM,PCOALAUUSDM,PALUMUSDM,PIORECRUSDM,RTWEXBGS,UNRATE,A191RP1Q027SBEA,B075RC1Q027SBEA,China GDP Growth,GOLD
2019-08-01,1.63,1.57,0.06,2.54,3.42,2.13,2.633395,1.4666666666666668,1.71433646,1.56887016,5709.44047619048,54.8304545454545,69.7392857142855,1740.67857142857,93.5,108.423,3.7,4.433333333333334,206.68233333333333,6.133333333333334,1500.41
2019-09-01,1.7,1.65,0.05,2.44,3.34,2.04,2.616559,1.3333333333333333,1.64492794,1.46482077,5759.25,56.86,66.9586734693876,1753.5119047619,92.2619047619048,108.6112,3.5,3.8666666666666663,216.42166666666668,6.0,1510.58
2019-10-01,1.71,1.55,0.16,2.34,3.26,1.83,2.7342,1.2,1.72460183,1.54904817,5757.29782608696,53.9608695652174,69.1942546583849,1725.95652173913,88.5869565217391,108.071,3.6,3.3,226.161,6.0,1494.81
2019-11-01,1.81,1.61,0.2,2.35,3.24,1.55,2.760463,1.4333333333333333,1.69729979,1.57873628,5859.95238095238,56.6776190476191,69.7290816326529,1774.78571428571,82.9047619047619,107.8462,3.6,1.1666666666666665,211.794,6.0,1470.79
2019-12-01,1.86,1.61,0.25,2.36,3.508,1.55,2.724503,1.6666666666666665,1.70378442,1.61310184,6077.0625,59.8677272727273,70.4646428571427,1771.38,90.9772727272727,107.1028,3.6,-0.9666666666666668,197.427,6.0,1479.13
2020-01-01,1.76,1.52,0.24,2.37,3.7760000000000002,1.55,2.788599,1.9,1.79710932,1.64111652,6031.20909090909,57.7169565217391,72.1061688311687,1773.09090909091,95.2173913043478,106.5114,3.5,-3.1,183.06,-9.066666666666668,1560.67
2020-02-01,1.5,1.33,0.17,2.38,4.0440000000000005,1.58,2.812655,0.9333333333333332,1.64596366,1.51320566,5687.75,50.608,71.0501785714284,1688.095,87.625,107.8966,3.5,-12.366666666666665,181.297,-24.133333333333336,1597.1
2020-03-01,0.87,0.45,0.42,2.39,4.312,0.65,2.641068,-0.03333333333333344,0.98707392,1.1211007,5182.63181818182,29.3204545454545,70.20487012987,1610.89090909091,88.6590909090909,111.8448,4.4,-21.633333333333333,179.534,-39.2,1591.93
2020-04-01,0.66,0.22,0.44,2.4,4.58,0.05,2.233555,-1.0,-0.05035367,0.88234276,5057.972,16.975,64.6199999999999,1459.9345,83.75,113.4229,14.7,-30.9,177.771,-10.8,1683.17
2020-05-01,0.67,0.17,0.5,1.9,3.44,0.05,2.085757,0.40000000000000013,-0.21879037,0.86493627,5239.82631578947,28.7814285714286,54.1483082706766,1466.37157894737,91.3333333333333,112.7328,13.2,-7.233333333333331,191.30433333333332,17.6,1715.91
2020-06-01,0.73,0.19,0.55,1.65,3.03,0.08,2.064379,1.8000000000000003,0.51275711,1.01290639,5754.59545454546,38.3145454545455,55.0027597402597,1568.57045454545,103.340909090909,110.1506,11.0,16.433333333333337,204.83766666666668,46.0,1732.22
2020-07-01,0.62,0.15,0.47,1.57,2.67,0.09,2.350691,3.2,1.57200144,1.2377693,6372.46086956522,40.7152173913044,51.672204968944,1643.81217391304,108.021739130435,109.5158,10.2,40.1,218.371,34.266666666666666,1846.51
2020-08-01,0.65,0.14,0.51,1.51,2.51,0.1,2.297196,2.6333333333333333,1.67677177,1.23958067,6508.39285714286,42.3709523809524,51.3824999999999,1738.55523809524,120.071428571429,108.2585,8.4,28.933333333333337,221.08833333333334,22.53333333333333,1968.63
2020-09-01,0.68,0.13,0.55,1.45,2.35,0.09,2.088195,2.0666666666666664,1.5827644,1.23631532,6704.9,39.5981818181818,52.0056818181817,1743.77454545455,123.0,107.8483,7.9,17.76666666666667,223.80566666666667,10.8,1921.92
2020-10-01,0.79,0.15,0.64,1.52,2.44,0.09,1.848308,1.5,1.39703767,1.20124146,6713.81136363636,39.405,58.0694805194804,1806.10181818182,119.25,107.2568,6.9,6.6,226.523,10.666666666666668,1900.27
